Refugees(UNHCR);IDPs;Civilian casualities(OHCHR) - Killed;Civilian casualities(OHCHR) - Injured;Attacks on Education Facilities;Attacks on Health Care;Number of Organisations;Number of People Reached;Date;Source URL
1000000;N/A;249;553;N/A;N/A;;;03/03/22;https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-3-march-2022
1200000;N/A;331;675;N/A;N/A;;;04/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/Ukraine%20Humanitarian%20Impact%20Situation%20report%204%20March.pdf
1300000;N/A;351;707;N/A;N/A;;;05/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/Ukraine%20Humanitarian%20Impact%20Situation%20Report_5%20March_0.pdf
1500000;N/A;364;759;N/A;N/A;;;06/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-06_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
1700000;N/A;406;801;N/A;N/A;;;07/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-07_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
2000000;N/A;474;861;N/A;N/A;;;08/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-08_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
2100000;N/A;516;908;N/A;N/A;;;09/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-09_Ukraine%20Humanitarian%20Impact%20SitRep.pdf
2300000;N/A;549;957;N/A;N/A;;;10/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-10_Ukraine%20Humanitarian%20Impact%20SitRep.pdf
2500000;N/A;564;982;N/A;N/A;;;11/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-11_Ukraine%20Humanitarian%20Impact%20SitRep_final_0.pdf
2600000;N/A;579;1002;N/A;N/A;;;12/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-12_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
2700000;N/A;596;1067;N/A;N/A;;;13/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-13_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
2800000;1900000;636;1125;N/A;N/A;;;14/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-14_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
3000000;1900000;691;1143;N/A;N/A;;;15/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-15_Ukraine%20Humanitarian%20Impact%20SitRep.pdf
3100000;1900000;780;1252;N/A;N/A;;;16/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-16_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
3200000;1900000;816;1333;N/A;N/A;;;17/03/22;https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-17_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf
3400000;6500000;902;1459;N/A;N/A;;;20/03/22;https://ukraine.un.org/sites/default/files/2022-03/Ukraine%20-%20civilian%20casualty%20update%20as%20of%2024.00%2019%20March%202022%20ENG.pdf
3400000;6500000;925;1496;518;N/A;;;21/03/22;https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-21-march-2022
3500000;6500000;953;1557;;N/A;;;22/03/22;https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-22-march-2022
3600000;6500000;977;1594;548;64;;;23/03/22;https://extranet.who.int/ssa/LeftMenu/Index.aspx
3600000;6500000;1035;1650;;72;113;894261;24/03/22;https://www.ohchr.org/en/statements/2022/03/situation-ukraine
3700000;6500000;1081;1707;;;;;25/03/22;
3700000;6500000;1081;1707;570;;;;26/03/22;https://extranet.who.int/ssa/LeftMenu/Index.aspx
3700000;6500000;1119;1790;;;;;27/03/22;https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-27-march-2022
3900000;6500000;1151;1824;;;;;28/03/22;https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-28-march-2022
3900000;6500000;1179;1860;733;74;;;29/03/22;https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-28-march-2022
4000000;6500000;1189;1901;773;82;;;30/03/22;https://www.ohchr.org/en/news/2022/03/ukraine-civilian-casualty-update-30-march-2022
4100000;6500000;1232;1935;;;159;1400204;31/03/22;https://www.ohchr.org/en/press-releases/2022/03/ukraine-civilian-casualty-update-31-march-2022
4100000;7138715;1276;1981;859;;;;01/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-1-april-2022
4100000;7138715;1325;2017;;;;;02/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-2-april-2022
4100000;7138715;1417;2038;;;;;03/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-3-april-2022
4200000;7138715;1430;2097;869;85;;;04/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-4-april-2022
4200000;7138715;1480;2195;;91;;;05/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-5-april-2022
4300000;7138715;1563;2213;930;;180;2053900;06/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-6-april-2022
4300000;7138715;1611;2227;;103;;;07/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-7-april-2022
4400000;7138715;1626;2267;928;;;;08/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-8-avril-2022 and https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-1200-pm-eet-8-april-2022
4400000;7138715;1766;2383;;;;;09/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-9-avril-2022
4500000;7138715;1793;2439;;108;;;10/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-10-april-2022
4500000;7138715;1842;2493;;;;;11/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-11-april-2022
4600000;7138715;1892;2558;;119;;;12/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-12-april-2022
4700000;7138715;1932;2589;957;;188;2542000;13/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-13-april-2022
4700000;7138715;1964;2613;;125;;;14/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-14-april-2022
4700000;7138715;1982;2615;;;;;15/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-15-april-2022
4800000;7138715;1982;2651;;;;;16/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-15-april-2022
4900000;7138715;2072;2818;;136;;;18/04/22;https://www.ohchr.org/en/news/2022/04/ukraine-civilian-casualty-update-18-april-2022
4900000;7138715;2072;2818;;147;;;19/04/22;