data_date;Location name;Refugee;Population
28/02/22;Poland;353504;38179800
28/02/22;Hungary;89561;9730000
28/02/22;Moldova;65099;2597100
28/02/22;Romania;38461;19186201
28/02/22;Russia;37900;145478097
28/02/22;Slovakia;30000;5449270
28/02/22;Belarus;329;9349645
01/03/22;Poland;453982;38179800
01/03/22;Hungary;116348;9730000
01/03/22;Moldova;79315;2597100
01/03/22;Romania;67000;19186201
01/03/22;Russia;44540;145478097
01/03/22;Slovakia;42900;5449270
01/03/22;Belarus;341;9349645
02/03/22;Poland;547982;38179800
02/03/22;Hungary;133009;9730000
02/03/22;Moldova;97827;2597100
02/03/22;Romania;79059;19186201
02/03/22;Russia;51261;145478097
02/03/22;Slovakia;47800;5449270
02/03/22;Belarus;374;9349645
02/03/22;Italy;3840;59097904
03/03/22;Poland;649903;38179800
03/03/22;Hungary;144738;9730000
03/03/22;Moldova;110876;2597100
03/03/22;Romania;90329;19186201
03/03/22;Russia;57192;145478097
03/03/22;Slovakia;53300;5449270
03/03/22;Belarus;384;9349645
03/03/22;Italy;6608;59097904
04/03/22;Poland;756303;38179800
04/03/22;Hungary;157004;9730000
04/03/22;Moldova;133876;2597100
04/03/22;Romania;101529;19186201
04/03/22;Russia;63192;145478097
04/03/22;Slovakia;53300;5449270
04/03/22;Belarus;406;9349645
04/03/22;Italy;9058;59097904
05/03/22;Poland;885303;38179800
05/03/22;Hungary;169053;9730000
05/03/22;Moldova;157056;2597100
05/03/22;Romania;84067;19186201
05/03/22;Russia;71640;145478097
05/03/22;Slovakia;53300;5449270
05/03/22;Belarus;406;9349645
05/03/22;Italy;11323;59097904
06/03/22;Poland;1027603;38179800
06/03/22;Hungary;180163;9730000
06/03/22;Moldova;82762;2597100
06/03/22;Romania;82062;19186201
06/03/22;Slovakia;128169;5449270
06/03/22;Italy;14237;59097904
07/03/22;Hungary;191348;9730000
07/03/22;Slovakia;140745;5449270
07/03/22;Belarus;453;9349645
07/03/22;Italy;17286;59097904
08/03/22;Poland;1412503;38179800
08/03/22;Hungary;214160;9730000
08/03/22;Slovakia;153303;5449270
08/03/22;Russia;99300;145478097
08/03/22;Romania;84671;19186201
08/03/22;Belarus;592;9349645
08/03/22;Italy;21095;59097904
09/03/22;Slovakia;165199;5449270
09/03/22;Russia;97098;145478097
09/03/22;Belarus;765;9349645
09/03/22;Italy;23872;59097904
10/03/22;Hungary;225046;9730000
10/03/22;Slovakia;176092;5449270
10/03/22;Russia;105897;145478097
10/03/22;Moldova;104929;2597100
10/03/22;Belarus;858;9349645
10/03/22;Italy;26738;59097904
11/03/22;Poland;1575703;38179800
11/03/22;Hungary;235576;9730000
11/03/22;Slovakia;185673;5449270
11/03/22;Belarus;938;9349645
11/03/22;Italy;31287;59097904
12/03/22;Poland;1655503;38179800
12/03/22;Hungary;246206;9730000
12/03/22;Slovakia;195980;5449270
12/03/22;Italy;34851;59097904
13/03/22;Poland;1720227;38179800
13/03/22;Romania;412856;19186201
13/03/22;Moldova;330217;2597100
13/03/22;Hungary;255291;9730000
13/03/22;Slovakia;204862;5449270
13/03/22;Russia;131365;145478097
13/03/22;Belarus;1226;9349645
13/03/22;Italy;37447;59097904
14/03/22;Romania;453432;19186201
14/03/22;Moldova;337215;2597100
14/03/22;Hungary;263888;9730000
14/03/22;Slovakia;213000;5449270
14/03/22;Russia;142994;145478097
14/03/22;Belarus;1475;9349645
14/03/22;Italy;38539;59097904
15/03/22;Poland;1857045;38179800
15/03/22;Romania;467703;19186201
15/03/22;Moldova;344454;2597100
15/03/22;Hungary;272943;9730000
15/03/22;Slovakia;220977;5449270
15/03/22;Russia;155841;145478097
15/03/22;Belarus;1816;9349645
15/03/22;Italy;44008;59097904
16/03/22;Poland;1916445;38179800
16/03/22;Romania;491409;19186201
16/03/22;Moldova;350886;2597100
16/03/22;Hungary;282611;9730000
16/03/22;Slovakia;228844;5449270
16/03/22;Russia;168858;145478097
16/03/22;Belarus;2127;9349645
16/03/22;Italy;47153;59097904
17/03/22;Romania;508692;19186201
17/03/22;Moldova;355426;2597100
17/03/22;Hungary;291230;9730000
17/03/22;Slovakia;234738;5449270
17/03/22;Russia;184563;145478097
17/03/22;Belarus;2548;9349645
17/03/22;Italy;50649;59097904
18/03/22;Poland;2010693;38179800
18/03/22;Romania;518269;19186201
18/03/22;Moldova;359056;2597100
18/03/22;Hungary;299273;9730000
18/03/22;Slovakia;240009;5449270
18/03/22;Italy;53669;59097904
19/03/22;Poland;2050392;38179800
19/03/22;Romania;527247;19186201
19/03/22;Moldova;362514;2597100
19/03/22;Hungary;305518;9730000
19/03/22;Slovakia;245569;5449270
19/03/22;Italy;55711;59097904
20/03/22;Poland;2083854;38179800
20/03/22;Romania;535461;19186201
20/03/22;Moldova;365197;2597100
20/03/22;Hungary;312120;9730000
20/03/22;Slovakia;250036;5449270
20/03/22;Russia;231764;145478097
20/03/22;Belarus;3765;9349645
20/03/22;Italy;;59097904
21/03/22;Poland;2113554;38179800
21/03/22;Romania;543308;19186201
21/03/22;Moldova;367913;2597100
21/03/22;Hungary;317863;9730000
21/03/22;Slovakia;253592;5449270
21/03/22;Russia;252376;145478097
21/03/22;Belarus;4308;9349645
21/03/22;Italy;59589;59097904
22/03/22;Poland;2144244;38179800
22/03/22;Romania;555021;19186201
22/03/22;Moldova;371104;2597100
22/03/22;Hungary;324397;9730000
22/03/22;Slovakia;271254;5449270
22/03/22;Russia;256838;145478097
22/03/22;Belarus;4938;9349645
22/03/22;Italy;61493;59097904
23/03/22;Poland;2173944;38179800
23/03/22;Romania;563519;19186201
23/03/22;Moldova;374059;2597100
23/03/22;Hungary;330877;9730000
23/03/22;Slovakia;260244;5449270
23/03/22;Belarus;5569;9349645
23/03/22;Italy;65350;59097904
24/03/22;Poland;2206119;38179800
24/03/22;Romania;572754;19186201
24/03/22;Moldova;376748;2597100
24/03/22;Hungary;336701;9730000
24/03/22;Slovakia;263959;5449270
24/03/22;Belarus;6341;9349645
24/03/22;Italy;67885;59097904
25/03/22;Poland;2236314;38179800
25/03/22;Romania;579800;19186201
25/03/22;Moldova;379204;2597100
25/03/22;Hungary;342738;9730000
25/03/22;Slovakia;267702;5449270
25/03/22;Italy;69154;59097904
26/03/22;Poland;2267103;38179800
26/03/22;Romania;586942;19186201
26/03/22;Moldova;381395;2597100
26/03/22;Hungary;349107;9730000
26/03/22;Slovakia;27012;5449270
26/03/22;Italy;70784;59097904
27/03/22;Poland;2293833;38179800
27/03/22;Romania;595868;19186201
27/03/22;Moldova;383627;2597100
27/03/22;Hungary;354041;9730000
27/03/22;Slovakia;275439;5449270
27/03/22;Belarus;9075;9349645
27/03/22;Italy;71940;59097904
28/03/22;Poland;2314623;38179800
28/03/22;Romania;602461;19186201
28/03/22;Moldova;385222;2597100
28/03/22;Hungary;359197;9730000
28/03/22;Slovakia;278238;5449270
28/03/22;Belarus;9875;9349645
28/03/22;Italy;73898;59097904
29/03/22;Poland;2336799;38179800
29/03/22;Romania;608936;19186201
29/03/22;Moldova;387151;2597100
29/03/22;Hungary;364804;9730000
29/03/22;Russia;350632;145478097
29/03/22;Slovakia;281172;5449270
29/03/22;Belarus;10902;9349645
29/03/22;Italy;75115;59097904